Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0201_0603Metric",210.820000,-91.125000,180.000000,bottom
"C2","10u","C_1206_3216Metric",209.250000,-92.650000,180.000000,bottom
"C3","0.1u","C_0201_0603Metric",206.180000,-98.875000,180.000000,bottom
"C4","10u","C_1206_3216Metric",207.675000,-97.275000,180.000000,bottom
"C11","4.7u","C_Radial_D6.3mm_H11.0mm_P2.50mm",197.250000,-74.850000,0.000000,bottom
"C12","0.1u","C_Disc_D5.0mm_W2.5mm_P5.00mm",195.875000,-80.075000,0.000000,bottom
"C13","4.7u","C_Radial_D6.3mm_H11.0mm_P2.50mm",207.200000,-75.700000,0.000000,bottom
"C14","0.1u","C_Disc_D5.0mm_W2.5mm_P5.00mm",211.600000,-80.700000,180.000000,bottom
"C15","0.1u","C_0201_0603Metric",216.630000,-71.300000,0.000000,bottom
"C16","0.1u","C_0201_0603Metric",221.480000,-63.475000,0.000000,bottom
"C17","10u","C_1206_3216Metric",218.200000,-69.750000,0.000000,bottom
"C18","10u","C_1206_3216Metric",219.775000,-65.050000,0.000000,bottom
"C28","1u","C_0805_2012Metric",200.200000,-49.750000,180.000000,bottom
"C29","0.1u","C_0201_0603Metric",198.800000,-47.200000,0.000000,bottom
"C30","1u","C_0805_2012Metric",198.900000,-52.900000,0.000000,bottom
"C31","0.1u","C_0201_0603Metric",208.245000,-66.500000,0.000000,bottom
"C32","1u","C_0805_2012Metric",209.250000,-67.900000,0.000000,bottom
"C33","0.1u","C_0201_0603Metric",223.145000,-79.200000,180.000000,bottom
"C34","0.1u","C_0201_0603Metric",218.900000,-84.300000,180.000000,bottom
"C35","10u","C_1206_3216Metric",222.275000,-77.600000,180.000000,bottom
"C36","10u","C_1206_3216Metric",220.700000,-85.800000,180.000000,bottom
"J6","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Vertical",226.300000,-111.360000,0.000000,bottom
"R4","10k","R_0805_2012Metric",224.925000,-66.825000,90.000000,bottom
"R8","10k","R_0805_2012Metric",213.350000,-67.575000,-90.000000,bottom
"R9","10k","R_0805_2012Metric",224.925000,-70.250000,-90.000000,bottom
"R17","10k","R_0805_2012Metric",196.300000,-64.100000,-90.000000,bottom
"R18","2","R_0805_2012Metric",206.600000,-67.400000,90.000000,bottom
"U4","TDA2030","TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical",244.950000,-68.600000,90.000000,bottom
"C5","1u","C_Radial_D6.3mm_H11.0mm_P2.50mm",198.800000,-93.000000,0.000000,top
"C6","1u","C_Radial_D6.3mm_H11.0mm_P2.50mm",218.000000,-94.700000,180.000000,top
"C7","10u","C_Radial_D6.3mm_H11.0mm_P2.50mm",199.850000,-85.100000,180.000000,top
"C8","10u","C_Radial_D6.3mm_H11.0mm_P2.50mm",210.600000,-85.800000,180.000000,top
"C9","2.2n","C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",204.300000,-73.700000,-90.000000,top
"C10","2.2n","C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",214.200000,-74.300000,-90.000000,top
"C19","10u","C_Radial_D6.3mm_H11.0mm_P2.50mm",234.400000,-89.550000,90.000000,top
"C20","100u","C_Radial_D10.0mm_H20.0mm_P5.00mm",237.600000,-79.100000,180.000000,top
"C21","220u","C_Radial_D10.0mm_H20.0mm_P5.00mm",246.200000,-93.600000,180.000000,top
